workout_type_0,workout_type_1,workout_type_2,workout_type_3,workout_type_4,workout_type_5,workout_type_6,workout_type_7,workout_type_8,workout_type_9,workout_type_10,workout_type_11,workout_type_12,workout_type_13,duration,split_duration,target_rate,target_pace,target_pace_type_0,target_pace_type_1,target_pace_type_2,target_hr,duration_interval_0,rest_duration_interval_0,interval_type_0_interval_0,interval_type_1_interval_0,interval_type_2_interval_0,target_pace_interval_0,target_pace_type_0_interval_0,target_pace_type_1_interval_0,target_pace_type_2_interval_0,target_rate_interval_0,target_hr_interval_0,duration_interval_1,rest_duration_interval_1,interval_type_0_interval_1,interval_type_1_interval_1,interval_type_2_interval_1,target_pace_interval_1,target_pace_type_0_interval_1,target_pace_type_1_interval_1,target_pace_type_2_interval_1,target_rate_interval_1,target_hr_interval_1,duration_interval_2,rest_duration_interval_2,interval_type_0_interval_2,interval_type_1_interval_2,interval_type_2_interval_2,target_pace_interval_2,target_pace_type_0_interval_2,target_pace_type_1_interval_2,target_pace_type_2_interval_2,target_rate_interval_2,target_hr_interval_2,duration_interval_3,rest_duration_interval_3,interval_type_0_interval_3,interval_type_1_interval_3,interval_type_2_interval_3,target_pace_interval_3,target_pace_type_0_interval_3,target_pace_type_1_interval_3,target_pace_type_2_interval_3,target_rate_interval_3,target_hr_interval_3,duration_interval_4,rest_duration_interval_4,interval_type_0_interval_4,interval_type_1_interval_4,interval_type_2_interval_4,target_pace_interval_4,target_pace_type_0_interval_4,target_pace_type_1_interval_4,target_pace_type_2_interval_4,target_rate_interval_4,target_hr_interval_4,duration_interval_5,rest_duration_interval_5,interval_type_0_interval_5,interval_type_1_interval_5,interval_type_2_interval_5,target_pace_interval_5,target_pace_type_0_interval_5,target_pace_type_1_interval_5,target_pace_type_2_interval_5,target_rate_interval_5,target_hr_interval_5,duration_interval_6,rest_duration_interval_6,interval_type_0_interval_6,interval_type_1_interval_6,interval_type_2_interval_6,target_pace_interval_6,target_pace_type_0_interval_6,target_pace_type_1_interval_6,target_pace_type_2_interval_6,target_rate_interval_6,target_hr_interval_6,duration_interval_7,rest_duration_interval_7,interval_type_0_interval_7,interval_type_1_interval_7,interval_type_2_interval_7,target_pace_interval_7,target_pace_type_0_interval_7,target_pace_type_1_interval_7,target_pace_type_2_interval_7,target_rate_interval_7,target_hr_interval_7,duration_interval_8,rest_duration_interval_8,interval_type_0_interval_8,interval_type_1_interval_8,interval_type_2_interval_8,target_pace_interval_8,target_pace_type_0_interval_8,target_pace_type_1_interval_8,target_pace_type_2_interval_8,target_rate_interval_8,target_hr_interval_8,duration_interval_9,rest_duration_interval_9,interval_type_0_interval_9,interval_type_1_interval_9,interval_type_2_interval_9,target_pace_interval_9,target_pace_type_0_interval_9,target_pace_type_1_interval_9,target_pace_type_2_interval_9,target_rate_interval_9,target_hr_interval_9,duration_interval_10,rest_duration_interval_10,interval_type_0_interval_10,interval_type_1_interval_10,interval_type_2_interval_10,target_pace_interval_10,target_pace_type_0_interval_10,target_pace_type_1_interval_10,target_pace_type_2_interval_10,target_rate_interval_10,target_hr_interval_10,duration_interval_11,rest_duration_interval_11,interval_type_0_interval_11,interval_type_1_interval_11,interval_type_2_interval_11,target_pace_interval_11,target_pace_type_0_interval_11,target_pace_type_1_interval_11,target_pace_type_2_interval_11,target_rate_interval_11,target_hr_interval_11,duration_interval_12,rest_duration_interval_12,interval_type_0_interval_12,interval_type_1_interval_12,interval_type_2_interval_12,target_pace_interval_12,target_pace_type_0_interval_12,target_pace_type_1_interval_12,target_pace_type_2_interval_12,target_rate_interval_12,target_hr_interval_12,duration_interval_13,rest_duration_interval_13,interval_type_0_interval_13,interval_type_1_interval_13,interval_type_2_interval_13,target_pace_interval_13,target_pace_type_0_interval_13,target_pace_type_1_interval_13,target_pace_type_2_interval_13,target_rate_interval_13,target_hr_interval_13,duration_interval_14,rest_duration_interval_14,interval_type_0_interval_14,interval_type_1_interval_14,interval_type_2_interval_14,target_pace_interval_14,target_pace_type_0_interval_14,target_pace_type_1_interval_14,target_pace_type_2_interval_14,target_rate_interval_14,target_hr_interval_14,duration_interval_15,rest_duration_interval_15,interval_type_0_interval_15,interval_type_1_interval_15,interval_type_2_interval_15,target_pace_interval_15,target_pace_type_0_interval_15,target_pace_type_1_interval_15,target_pace_type_2_interval_15,target_rate_interval_15,target_hr_interval_15,duration_interval_16,rest_duration_interval_16,interval_type_0_interval_16,interval_type_1_interval_16,interval_type_2_interval_16,target_pace_interval_16,target_pace_type_0_interval_16,target_pace_type_1_interval_16,target_pace_type_2_interval_16,target_rate_interval_16,target_hr_interval_16,duration_interval_17,rest_duration_interval_17,interval_type_0_interval_17,interval_type_1_interval_17,interval_type_2_interval_17,target_pace_interval_17,target_pace_type_0_interval_17,target_pace_type_1_interval_17,target_pace_type_2_interval_17,target_rate_interval_17,target_hr_interval_17,duration_interval_18,rest_duration_interval_18,interval_type_0_interval_18,interval_type_1_interval_18,interval_type_2_interval_18,target_pace_interval_18,target_pace_type_0_interval_18,target_pace_type_1_interval_18,target_pace_type_2_interval_18,target_rate_interval_18,target_hr_interval_18,duration_interval_19,rest_duration_interval_19,interval_type_0_interval_19,interval_type_1_interval_19,interval_type_2_interval_19,target_pace_interval_19,target_pace_type_0_interval_19,target_pace_type_1_interval_19,target_pace_type_2_interval_19,target_rate_interval_19,target_hr_interval_19,duration_interval_20,rest_duration_interval_20,interval_type_0_interval_20,interval_type_1_interval_20,interval_type_2_interval_20,target_pace_interval_20,target_pace_type_0_interval_20,target_pace_type_1_interval_20,target_pace_type_2_interval_20,target_rate_interval_20,target_hr_interval_20,duration_interval_21,rest_duration_interval_21,interval_type_0_interval_21,interval_type_1_interval_21,interval_type_2_interval_21,target_pace_interval_21,target_pace_type_0_interval_21,target_pace_type_1_interval_21,target_pace_type_2_interval_21,target_rate_interval_21,target_hr_interval_21,duration_interval_22,rest_duration_interval_22,interval_type_0_interval_22,interval_type_1_interval_22,interval_type_2_interval_22,target_pace_interval_22,target_pace_type_0_interval_22,target_pace_type_1_interval_22,target_pace_type_2_interval_22,target_rate_interval_22,target_hr_interval_22,duration_interval_23,rest_duration_interval_23,interval_type_0_interval_23,interval_type_1_interval_23,interval_type_2_interval_23,target_pace_interval_23,target_pace_type_0_interval_23,target_pace_type_1_interval_23,target_pace_type_2_interval_23,target_rate_interval_23,target_hr_interval_23
0,0,0,1,0,0,0,0,0,0,0,0,0,0,6000,1000,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,0,,3000.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,2400.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,1800.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,2400.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,3000.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,0,,2000.0,1800.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,1000.0,1200.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,500.0,600.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,0,,1000.0,1200.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,1000.0,1200.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,1000.0,1200.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,1000.0,1200.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,1000.0,1200.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,1000.0,1200.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,0,,1800.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,1800.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,1800.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,1800.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,0,,600.0,600.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,900.0,900.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,1200.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,1500.0,1500.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,1800.0,1800.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,2100.0,2100.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,2400.0,2400.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,30,,0,0,0,4,500.0,600.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,500.0,600.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,500.0,600.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,500.0,600.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,500.0,600.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,500.0,600.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,0,,3600.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,1800.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,1800.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,600.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,600.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,600.0,1200.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,0,,500.0,1200.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,500.0,1200.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,500.0,1200.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,500.0,1200.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,500.0,1200.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,500.0,1200.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,500.0,1200.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,500.0,1200.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,30,,0,0,0,4,250.0,450.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,250.0,450.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,250.0,450.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,250.0,450.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,250.0,450.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,250.0,450.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,250.0,450.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,250.0,450.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,250.0,450.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,250.0,450.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,250.0,450.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,250.0,450.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
